scenario,replication,kpi,value
S1,7,left_behind_rate,0.10531415368562272
S1,7,throughput,1760.9333333333334
S1,7,load_factor_L1,0.37292763157894737
S1,7,load_factor_L2,0.5450862068965517
S1,7,load_factor_L3,0.44275862068965516
S1,7,load_factor_L4,0.531578947368421
S1,7,avg_wait_kadikoy,15.917461159832543
S1,7,avg_wait_uskudar,18.774841715354004
S1,7,avg_wait_eminonu,8.422960944149875
S1,7,avg_wait_besiktas,14.666730871217881
S1,7,berth_util_kadikoy,0.14888888888888888
S1,7,berth_util_eminonu,0.14888888888888888
S1,7,missed_conn_rate,0.0
S1,7,total_pax_served,26414.0
S1,8,avg_journey_time,40.129644349477985
S1,8,avg_jt_eminonu,31.484709269143217
S1,8,avg_jt_besiktas,58.63062013415801
S1,8,avg_jt_kadikoy,35.08743244108127
S1,8,avg_jt_uskudar,36.568725129387516
S1,8,loss_rate,0.0
S1,8,left_behind_rate,0.12265592961264586
S1,8,throughput,1757.0666666666666
S1,8,load_factor_L1,0.37006578947368424
S1,8,load_factor_L2,0.5524137931034483
S1,8,load_factor_L3,0.43948275862068964
S1,8,load_factor_L4,0.531578947368421
S1,8,avg_wait_kadikoy,17.370726619721726
S1,8,avg_wait_uskudar,18.938532707173326
S1,8,avg_wait_eminonu,8.450143656055683
S1,8,avg_wait_besiktas,14.80197651721234
S1,8,berth_util_kadikoy,0.14888888888888888
S1,8,berth_util_eminonu,0.14888888888888888
S1,8,missed_conn_rate,0.0
S1,8,total_pax_served,26356.0
S1,9,avg_journey_time,39.759933649097114
S1,9,avg_jt_eminonu,31.522994693921127
S1,9,avg_jt_besiktas,57.56599454964277
S1,9,avg_jt_kadikoy,35.1801063437505
S1,9,avg_jt_uskudar,36.35745353949671
S1,9,loss_rate,0.0
S1,9,left_behind_rate,0.11515689757252812
S1,9,throughput,1771.0666666666666
S1,9,load_factor_L1,0.37332236842105265
S1,9,load_factor_L2,0.5531034482758621
S1,9,load_factor_L3,0.4460344827586207
S1,9,load_factor_L4,0.5367105263157895
S1,9,avg_wait_kadikoy,17.01001498367066
S1,9,avg_wait_uskudar,18.11517502185668
S1,9,avg_wait_eminonu,8.31141304004339
S1,9,avg_wait_besiktas,14.57113209221192
S1,9,berth_util_kadikoy,0.14888888888888888
S1,9,berth_util_eminonu,0.14888888888888888
S1,9,missed_conn_rate,0.0
S1,9,total_pax_served,26566.0
S1,10,avg_journey_time,41.327150295222125
S1,10,avg_jt_eminonu,31.48514485797474
S1,10,avg_jt_besiktas,62.84042918878641
S1,10,avg_jt_kadikoy,35.40859869720539
S1,10,avg_jt_uskudar,36.776764634816914
S1,10,loss_rate,0.0
S1,10,left_behind_rate,0.13326249450388392
S1,10,throughput,1788.4666666666667
S1,10,load_factor_L1,0.3761184210526316
S1,10,load_factor_L2,0.5731896551724138
S1,10,load_factor_L3,0.44241379310344825
S1,10,load_factor_L4,0.5330263157894737
S1,10,avg_wait_kadikoy,20.852735192077663
S1,10,avg_wait_uskudar,16.51289107728299
