scenario,kpi,mean,ci_lower,ci_upper,std
S1,avg_journey_time,40.05412070929056,39.79634158458451,40.311899833996605,0.5507931405962906
S1,avg_jt_besiktas,58.34984543728395,57.42857111564962,59.27111975891829,1.968474280228575
S1,avg_jt_eminonu,31.61698504091864,31.570215525657154,31.663754556180123,0.0999317854943212
S1,avg_jt_kadikoy,35.27445439717117,35.20121712999061,35.34769166435173,0.1564850700966099
S1,avg_jt_uskudar,36.46300891546727,36.3580989550902,36.56791887584434,0.22415968175007023
S1,avg_wait_besiktas,14.826846147001788,14.723592781156992,14.930099512846585,0.22062005880283933
S1,avg_wait_eminonu,8.499802396644167,8.433815681599153,8.565789111689181,0.14099291421956914
S1,avg_wait_kadikoy,17.25235552480601,16.628722608709573,17.875988440902447,1.332507947754385
S1,avg_wait_uskudar,18.761740605058062,17.996645472380663,19.52683573773546,1.6347683368964152
S1,berth_util_eminonu,0.14888888888888888,0.14888888888888888,0.14888888888888888,2.8476619731297836e-17
S1,berth_util_kadikoy,0.14888888888888888,0.14888888888888888,0.14888888888888888,2.8476619731297836e-17
S1,left_behind_rate,0.11926470535651687,0.11344437608218952,0.12508503463084422,0.012436218192481398
S1,load_factor_L1,0.361953125,0.3607461230509273,0.3631601269490727,0.002578984605497816
S1,load_factor_L2,0.5280241935483871,0.5256016771487305,0.5304467099480438,0.005176157756895311
S1,load_factor_L3,0.42387096774193544,0.4215451972039389,0.426196738279932,0.0049694421935454584
S1,load_factor_L4,0.507975,0.5060522847413369,0.509897715258663,0.004108239474391366
S1,loss_rate,0.0,0.0,0.0,0.0
S1,missed_conn_rate,0.0,0.0,0.0,0.0
S1,throughput,1773.61,1769.8064819538993,1777.4135180461005,8.126925143047748
S1,total_pax_served,26604.15,26547.097229308492,26661.20277069151,121.90387714571631
S2,avg_journey_time,30.557156987478407,30.53686472044828,30.577449254508537,0.04335821025107501
S2,avg_jt_besiktas,35.83498998743938,35.771246859943204,35.89873311493555,0.1361990712982883
S2,avg_jt_eminonu,27.33658649922968,27.31194456746273,27.361228430996626,0.05265207958074
S2,avg_jt_kadikoy,30.853150805004788,30.81307402216367,30.893227587845907,0.08563151539608715
S2,avg_jt_uskudar,29.835225509730225,29.744206237039144,29.926244782421307,0.19447963878952268
S2,avg_wait_besiktas,8.555840769642877,8.452841651877856,8.658839887407899,0.22007681039779606
S2,avg_wait_eminonu,4.290477602847777,4.246337900187075,4.33461730550848,0.09431270077124385
S2,avg_wait_kadikoy,4.740251860696286,4.721200311016687,4.7593034103758844,0.04070718640703896
S2,avg_wait_uskudar,9.202182311600948,9.14820741165831,9.256157211543586,0.11532743268748567
S2,berth_util_eminonu,0.22000000000000003,0.22000000000000003,0.22000000000000003,2.8476619731297836e-17
S2,berth_util_kadikoy,0.22000000000000003,0.22000000000000003,0.22000000000000003,2.8476619731297836e-17
S2,left_behind_rate,0.001677145575503715,0.001537114958708687,0.0018171761922987431,0.0002992015094011969
S2,load_factor_L1,0.24224791666666667,0.2414540828780886,0.24304175045524476,0.0016961738310694084
S2,load_factor_L2,0.3632388888888889,0.36157522045245843,0.36490255732531934,0.003554737661776825
S2,load_factor_L3,0.29154444444444444,0.28993344137453,0.2931554475143589,0.003442208291304834
S2,load_factor_L4,0.3330846774193549,0.33193857167738916,0.3342307831613206,0.0024488685101734997
